,hypo_sid,judge_sid,length,judgement,trace_key,task_id
0,61,65,5,reject,set_a/task1/trace_001,1
1,66,74,9,reject,set_a/task1/trace_001,1
2,85,93,9,reject,set_a/task1/trace_001,1
3,110,113,4,reject,set_a/task1/trace_001,1
4,114,120,7,reject,set_a/task1/trace_001,1
5,121,124,4,reject,set_a/task1/trace_001,1
6,136,138,3,reject,set_a/task1/trace_001,1
7,139,141,3,reject,set_a/task1/trace_001,1
8,156,160,5,uncertain,set_a/task1/trace_001,1
9,161,163,3,reject,set_a/task1/trace_001,1
10,166,179,14,reject,set_a/task1/trace_001,1
11,181,183,3,reject,set_a/task1/trace_001,1
12,184,187,4,uncertain,set_a/task1/trace_001,1
13,188,194,7,reject,set_a/task1/trace_001,1
14,195,199,5,uncertain,set_a/task1/trace_001,1
15,200,207,8,reject,set_a/task1/trace_001,1
16,211,218,8,reject,set_a/task1/trace_001,1
17,15,16,2,uncertain,set_a/task1/trace_002,1
18,41,46,6,reject,set_a/task1/trace_002,1
19,55,56,2,uncertain,set_a/task1/trace_002,1
20,59,60,2,reject,set_a/task1/trace_002,1
21,81,82,2,uncertain,set_a/task1/trace_002,1
22,84,87,4,reject,set_a/task1/trace_002,1
23,88,90,3,uncertain,set_a/task1/trace_002,1
24,91,96,6,uncertain,set_a/task1/trace_002,1
25,101,102,2,uncertain,set_a/task1/trace_002,1
26,106,117,12,reject,set_a/task1/trace_002,1
27,127,130,4,reject,set_a/task1/trace_002,1
28,133,135,3,reject,set_a/task1/trace_002,1
29,136,138,3,reject,set_a/task1/trace_002,1
30,142,145,4,reject,set_a/task1/trace_002,1
31,147,149,3,reject,set_a/task1/trace_002,1
32,150,151,2,uncertain,set_a/task1/trace_002,1
33,155,158,4,reject,set_a/task1/trace_002,1
34,159,160,2,uncertain,set_a/task1/trace_002,1
35,164,165,2,reject,set_a/task1/trace_002,1
36,169,176,8,reject,set_a/task1/trace_002,1
37,183,185,3,reject,set_a/task1/trace_002,1
38,188,191,4,reject,set_a/task1/trace_002,1
39,197,198,2,uncertain,set_a/task1/trace_002,1
40,200,202,3,reject,set_a/task1/trace_002,1
41,205,206,2,uncertain,set_a/task1/trace_002,1
42,212,214,3,reject,set_a/task1/trace_002,1
43,221,222,2,reject,set_a/task1/trace_002,1
44,223,227,5,reject,set_a/task1/trace_002,1
45,228,230,3,reject,set_a/task1/trace_002,1
46,231,233,3,reject,set_a/task1/trace_002,1
47,237,238,2,reject,set_a/task1/trace_002,1
48,239,241,3,reject,set_a/task1/trace_002,1
49,24,26,3,accept,set_a/task1/trace_003,1
50,29,32,4,accept,set_a/task1/trace_003,1
51,33,36,4,reject,set_a/task1/trace_003,1
52,38,39,2,accept,set_a/task1/trace_003,1
53,41,42,2,accept,set_a/task1/trace_003,1
54,43,46,4,reject,set_a/task1/trace_003,1
55,48,52,5,reject,set_a/task1/trace_003,1
56,56,57,2,accept,set_a/task1/trace_003,1
57,20,22,3,reject,set_a/task1/trace_004,1
58,28,32,5,reject,set_a/task1/trace_004,1
59,46,49,4,reject,set_a/task1/trace_004,1
60,56,57,2,reject,set_a/task1/trace_004,1
61,62,65,4,reject,set_a/task1/trace_004,1
62,66,69,4,reject,set_a/task1/trace_004,1
63,87,88,2,accept,set_a/task1/trace_004,1
