,from_label,to_label,count,probability
0,TEST,TEST,25437,0.6921
1,HYPO,TEST,8032,0.6284
2,TEST,JUDGE,6316,0.1719
3,JUDGE,HYPO,5970,0.6622
4,DESCRIBE,DESCRIBE,4454,0.7262
5,TEST,HYPO,3340,0.0909
6,HYPO,HYPO,2021,0.1581
7,HYPO,JUDGE,1369,0.1071
8,PLAN,TEST,1279,0.4309
9,JUDGE,TEST,1126,0.1249
10,DESCRIBE,SYNTHESIZE,918,0.1497
11,HYPO,PLAN,872,0.0682
12,SYNTHESIZE,SYNTHESIZE,841,0.2976
13,JUDGE,JUDGE,833,0.0924
14,PLAN,DESCRIBE,729,0.2456
15,TEST,SYNTHESIZE,712,0.0194
16,MONITOR,HYPO,619,0.3691
17,TEST,MONITOR,599,0.0163
18,PLAN,PLAN,565,0.1904
19,SYNTHESIZE,HYPO,499,0.1766
