layer,aggregation,C,fold_id,macro_f1,weighted_f1,accuracy
0,last_token,1.0,1,0.6992,0.8083,0.8042
0,last_token,1.0,2,0.6822,0.8057,0.7995
0,last_token,1.0,3,0.6748,0.7857,0.7798
0,last_token,1.0,4,0.6742,0.8003,0.7918
0,mean_pool,1.0,1,0.7122,0.8211,0.8174
0,mean_pool,1.0,2,0.7073,0.8139,0.8098
0,mean_pool,1.0,3,0.6962,0.8046,0.8005
0,mean_pool,1.0,4,0.6913,0.8193,0.8144
10,last_token,1.0,1,0.7321,0.8326,0.8312
10,last_token,1.0,2,0.7381,0.827,0.8249
10,last_token,1.0,3,0.737,0.8205,0.8183
10,last_token,1.0,4,0.7082,0.8232,0.8213
10,mean_pool,1.0,1,0.7443,0.8423,0.8414
10,mean_pool,1.0,2,0.7563,0.8391,0.8377
10,mean_pool,1.0,3,0.7434,0.8307,0.8282
10,mean_pool,1.0,4,0.7243,0.8386,0.8373
20,last_token,1.0,1,0.7459,0.837,0.8359
20,last_token,1.0,2,0.7351,0.8309,0.8295
20,last_token,1.0,3,0.7326,0.817,0.8151
20,last_token,1.0,4,0.7233,0.83,0.8274
20,mean_pool,1.0,1,0.7494,0.8438,0.8426
20,mean_pool,1.0,2,0.7489,0.8393,0.8379
20,mean_pool,1.0,3,0.7548,0.8336,0.8313
20,mean_pool,1.0,4,0.7295,0.8403,0.8389
31,last_token,0.01,1,0.7566,0.8553,0.8489
31,last_token,0.01,2,0.7605,0.8492,0.8426
31,last_token,0.01,3,0.7527,0.8323,0.8268
31,last_token,0.01,4,0.7381,0.8486,0.8407
31,last_token,0.1,1,0.7473,0.8434,0.8404
31,last_token,0.1,2,0.7493,0.8404,0.8367
31,last_token,0.1,3,0.7454,0.8274,0.8242
31,last_token,0.1,4,0.7259,0.8375,0.8325
31,last_token,1.0,1,0.7294,0.8279,0.8262
31,last_token,1.0,2,0.7275,0.8248,0.8221
31,last_token,1.0,3,0.7349,0.8207,0.8188
31,last_token,1.0,4,0.7106,0.822,0.8193
31,last_token,10.0,1,0.7187,0.819,0.8175
31,last_token,10.0,2,0.7185,0.8186,0.8171
31,last_token,10.0,3,0.7292,0.8143,0.8126
31,last_token,10.0,4,0.7053,0.8159,0.8138
31,mean_pool,0.01,1,0.7696,0.8615,0.8562
31,mean_pool,0.01,2,0.7735,0.8565,0.8517
31,mean_pool,0.01,3,0.7682,0.8426,0.8378
31,mean_pool,0.01,4,0.7509,0.8581,0.8521
31,mean_pool,0.1,1,0.7604,0.8518,0.849
31,mean_pool,0.1,2,0.7562,0.8423,0.8394
31,mean_pool,0.1,3,0.7639,0.8382,0.8354
31,mean_pool,0.1,4,0.7351,0.8444,0.8415
31,mean_pool,1.0,1,0.7458,0.8406,0.8395
31,mean_pool,1.0,2,0.734,0.8265,0.825
31,mean_pool,1.0,3,0.7518,0.8295,0.8275
31,mean_pool,1.0,4,0.7133,0.8296,0.8279
31,mean_pool,10.0,1,0.7403,0.8364,0.8353
31,mean_pool,10.0,2,0.7281,0.8207,0.8197
31,mean_pool,10.0,3,0.7405,0.8273,0.8258
31,mean_pool,10.0,4,0.7054,0.8243,0.8225
