condition,n_total,n_completed,completion_rate,n_correct_llm_review,accuracy_among_completed,accuracy_overall
baseline,40,22,0.55,0.0,0.0,0.0
HYPO_neg_0.5,40,20,0.5,0.0,0.0,0.0
HYPO_neg_1.0,40,18,0.45,1.0,0.05555555555555555,0.025
HYPO_pos_0.5,40,12,0.3,2.0,0.16666666666666666,0.05
HYPO_pos_1.0,40,8,0.2,1.0,0.125,0.025
JUDGE_neg_0.5,40,14,0.35,3.0,0.21428571428571427,0.075
JUDGE_neg_1.0,40,6,0.15,0.0,0.0,0.0
JUDGE_neg_2.0,40,0,0.0,0.0,,0.0
JUDGE_pos_0.5,40,14,0.35,1.0,0.07142857142857142,0.025
JUDGE_pos_1.0,40,18,0.45,0.0,0.0,0.0
MONITOR_neg_0.5,40,15,0.375,0.0,0.0,0.0
MONITOR_neg_1.0,40,30,0.75,0.0,0.0,0.0
MONITOR_pos_0.5,40,19,0.475,0.0,0.0,0.0
MONITOR_pos_1.0,40,14,0.35,0.0,0.0,0.0
PLAN_neg_0.5,40,18,0.45,2.0,0.1111111111111111,0.05
PLAN_neg_1.0,40,16,0.4,0.0,0.0,0.0
PLAN_pos_0.5,40,14,0.35,0.0,0.0,0.0
PLAN_pos_1.0,40,9,0.225,0.0,0.0,0.0
TEST_neg_0.5,40,17,0.425,0.0,0.0,0.0
TEST_neg_1.0,40,13,0.325,2.0,0.15384615384615385,0.05
TEST_pos_0.5,40,16,0.4,0.0,0.0,0.0
TEST_pos_1.0,40,10,0.25,0.0,0.0,0.0
