condition,n_completed,n_correct,accuracy_rate,set_a_n_completed,set_a_n_correct,set_a_accuracy_rate,fisher_p,odds_ratio,ci_lower,ci_upper,direction
baseline,22,0,0.0,69,1,0.014492753623188406,1.0,1.0148148148148148,0.0399095287075169,25.804592079125616,lower
HYPO_neg_1.0,18,1,0.05555555555555555,69,1,0.014492753623188406,0.37289494787489974,3.914285714285714,0.3834189325324785,39.96055320445962,higher
HYPO_neg_0.5,20,1,0.05,69,1,0.014492753623188406,0.4009193054136875,3.5128205128205128,0.3457669678951981,35.68851018479243,higher
HYPO_pos_0.5,12,3,0.25,69,1,0.014492753623188406,0.009421544231670813,16.82456140350877,2.210710057933108,128.0429631215809,higher
HYPO_pos_1.0,8,1,0.125,69,1,0.014492753623188406,0.19822282980177713,9.133333333333333,0.8407278033473281,99.22091008011495,higher
TEST_neg_1.0,13,2,0.15384615384615385,69,1,0.014492753623188406,0.0640018066847335,9.927536231884059,1.1935103702375183,82.57655575774953,higher
TEST_neg_0.5,17,0,0.0,69,1,0.014492753623188406,1.0,1.3047619047619048,0.050927384750830904,33.428059116861256,lower
TEST_pos_0.5,16,0,0.0,69,1,0.014492753623188406,1.0,1.3838383838383839,0.05390326362876274,35.52676672368651,lower
TEST_pos_1.0,10,0,0.0,69,1,0.014492753623188406,1.0,2.1746031746031744,0.08299200695824255,56.9801736373667,lower
JUDGE_neg_2.0,0,0,,69,1,0.014492753623188406,,,,,n/a
JUDGE_neg_1.0,6,0,0.0,69,1,0.014492753623188406,1.0,3.5128205128205128,0.12954503358588437,95.25573936504165,lower
JUDGE_neg_0.5,14,3,0.21428571428571427,69,1,0.014492753623188406,0.014212405176260599,13.898550724637682,1.8582931066270065,103.95007738900219,higher
JUDGE_pos_0.5,14,2,0.14285714285714285,69,1,0.014492753623188406,0.072300040269479,9.133333333333333,1.1049875018001043,75.49205546839603,higher
JUDGE_pos_1.0,18,0,0.0,69,1,0.014492753623188406,1.0,1.2342342342342343,0.04826277919057156,31.563332458346274,lower
MONITOR_neg_1.0,30,0,0.0,69,1,0.014492753623188406,1.0,0.7486338797814208,0.029646107314142144,18.904764798217844,lower
MONITOR_neg_0.5,15,1,0.06666666666666667,69,1,0.014492753623188406,0.3270223752151463,4.724137931034483,0.4582553965077799,48.700963177986004,higher
MONITOR_pos_0.5,19,0,0.0,69,1,0.014492753623188406,1.0,1.170940170940171,0.0458630525791724,29.89554351085756,lower
MONITOR_pos_1.0,14,0,0.0,69,1,0.014492753623188406,1.0,1.5747126436781609,0.061035714268203756,40.62735956957025,lower
PLAN_neg_1.0,16,0,0.0,69,1,0.014492753623188406,1.0,1.3838383838383839,0.05390326362876274,35.52676672368651,lower
PLAN_neg_0.5,18,2,0.1111111111111111,69,1,0.014492753623188406,0.1072975140336808,6.91919191919192,0.8520699028220892,56.18695914037818,higher
PLAN_pos_0.5,14,0,0.0,69,1,0.014492753623188406,1.0,1.5747126436781609,0.061035714268203756,40.62735956957025,lower
PLAN_pos_1.0,9,0,0.0,69,1,0.014492753623188406,1.0,2.4035087719298245,0.09118925674515858,63.35016451431178,lower
