category,direction,ORIENT,DESCRIBE,SYNTHESIZE,HYPO,TEST,JUDGE,PLAN,MONITOR,RULE
HYPO,neg,-0.0037866310260651543,-0.025421536593491945,-0.012194658380920235,0.024809774923776735,-0.03968043030476848,0.021539075834670695,0.018147070572457263,0.013327157881886343,0.0032601770924547803
HYPO,pos,-0.009544509999669014,-0.045014664296181825,-0.01411769017513625,0.07164818822084759,-0.06413972517349067,0.043892242600124046,-0.0027228107754698927,0.021660439946564258,-0.001661470347588233
JUDGE,neg,-0.009051382034864896,-0.03980477810383731,-0.00911177654816045,0.013590416875468248,0.014722108637595188,0.002001646952556305,-0.0038460511515577877,0.033200769576842995,-0.0017009542040422848
JUDGE,pos,-0.008539225603674488,-0.056590966368104526,-0.013959330967760156,0.005354327764744949,0.0021401880854516955,0.021174984668504433,0.021612322266022742,0.023355152420703608,0.005452547734111748
MONITOR,neg,0.008754415461313619,-0.022803947201646392,0.014090404406106621,0.03334123579411129,-0.07934847586727227,0.002770233250324705,0.029403044189692758,-0.0001015118962231814,0.013894601863592915
MONITOR,pos,-0.0024219425285497424,-0.018017397253723498,-0.005342870594480907,0.035668788415597855,-0.06909299497692623,-0.000978611776928627,0.016201163792538126,0.042598059170343976,0.0013858057521290881
PLAN,neg,-0.004304611482571957,-0.06212141784220695,-0.013474994720350469,0.0416143469481455,-0.006659052804115166,0.014853665909087686,-0.004847478344913735,0.032035139174501494,0.002904403162423635
PLAN,pos,-0.007465132541541237,-0.036974108955085516,-0.006031159614064511,0.041500078511771156,-0.0074624476956436595,0.01202366425575541,0.009142841781342483,-0.0010362225178881552,-0.0036975132246459576
TEST,neg,-0.00353771964454242,-0.04182590349198945,-0.006871812951988373,0.0767472385380267,-0.08559381174942972,0.01554800056082718,0.029962793917328846,0.013011141061252762,0.0025600737605144543
TEST,pos,-0.007668728796728447,-0.03684314633961941,-0.010722555283769737,0.01258876155213133,0.05206265946745797,0.003991423979881568,-0.014700404957931252,0.004553386656252918,-0.0032613962776749245
