condition,n_complete,n_total,completion_rate,fisher_odds_ratio,fisher_p
baseline,22,40,0.55,,
HYPO_pos_0.5,12,40,0.3,0.35064935064935066,0.04107968622694146
HYPO_pos_1.0,8,40,0.2,0.20454545454545456,0.00239955560056592
HYPO_neg_0.5,20,40,0.5,0.8181818181818182,0.823036363899105
HYPO_neg_1.0,18,40,0.45,0.6694214876033058,0.5026211949101496
TEST_pos_0.5,16,40,0.4,0.5454545454545454,0.2628730122334849
TEST_pos_1.0,10,40,0.25,0.2727272727272727,0.01150621201656047
TEST_neg_0.5,17,40,0.425,0.6047430830039525,0.3710896231297408
TEST_neg_1.0,13,40,0.325,0.3939393939393939,0.07070212669583577
JUDGE_pos_0.5,14,40,0.35,0.4405594405594406,0.11513578739917721
JUDGE_pos_1.0,18,40,0.45,0.6694214876033058,0.5026211949101496
JUDGE_neg_0.5,14,40,0.35,0.4405594405594406,0.11513578739917721
JUDGE_neg_1.0,6,40,0.15,0.1443850267379679,0.0003434301282947582
JUDGE_neg_2.0,0,40,0.0,0.0,8.371010919163344e-09
MONITOR_pos_0.5,19,40,0.475,0.7402597402597403,0.6549209096032544
MONITOR_pos_1.0,14,40,0.35,0.4405594405594406,0.11513578739917721
MONITOR_neg_0.5,15,40,0.375,0.4909090909090909,0.17815079712391602
MONITOR_neg_1.0,30,40,0.75,2.4545454545454546,0.10002666043053654
PLAN_pos_0.5,14,40,0.35,0.4405594405594406,0.11513578739917721
PLAN_pos_1.0,9,40,0.225,0.2375366568914956,0.005474856526711564
PLAN_neg_0.5,18,40,0.45,0.6694214876033058,0.5026211949101496
PLAN_neg_1.0,16,40,0.4,0.5454545454545454,0.2628730122334849
