condition,n_traces,steer_category,steer_direction,alpha,signed_alpha,alpha_mean,alpha_sd,signed_alpha_mean,signed_alpha_sd,n_sentences_mean,n_sentences_sd,completed_mean,completed_sd,truncated_mean,truncated_sd,thinking_text_len_mean,thinking_text_len_sd,transition_entropy_mean,transition_entropy_sd,judge_n_mean,judge_n_sd,judge_accept_rate_mean,judge_accept_rate_sd,judge_reject_rate_mean,judge_reject_rate_sd,judge_uncertain_rate_mean,judge_uncertain_rate_sd,prop_ORIENT_mean,prop_ORIENT_sd,prop_DESCRIBE_mean,prop_DESCRIBE_sd,prop_SYNTHESIZE_mean,prop_SYNTHESIZE_sd,prop_HYPO_mean,prop_HYPO_sd,prop_TEST_mean,prop_TEST_sd,prop_JUDGE_mean,prop_JUDGE_sd,prop_PLAN_mean,prop_PLAN_sd,prop_MONITOR_mean,prop_MONITOR_sd,prop_RULE_mean,prop_RULE_sd,count_ORIENT_mean,count_ORIENT_sd,count_DESCRIBE_mean,count_DESCRIBE_sd,count_SYNTHESIZE_mean,count_SYNTHESIZE_sd,count_HYPO_mean,count_HYPO_sd,count_TEST_mean,count_TEST_sd,count_JUDGE_mean,count_JUDGE_sd,count_PLAN_mean,count_PLAN_sd,count_MONITOR_mean,count_MONITOR_sd,count_RULE_mean,count_RULE_sd
baseline,40,,,0.0,0.0,0.0,0.0,0.0,0.0,207.9,86.22921154154734,0.55,0.5038314736557788,0.5,0.5063696835418333,11842.975,3894.0228654030843,3.114671433615844,0.4244193446846522,20.5,13.241349377360804,0.08892066443050164,0.11356960325196386,0.6720949130140244,0.21049786926518066,0.23898442255547409,0.18043132691406383,0.01855043425641565,0.016496880437307588,0.12017275708819933,0.1459010170346639,0.020701320838769622,0.03362548591529491,0.1394172935506663,0.05002176983604864,0.5393414186480165,0.13957135306346258,0.09112046046668856,0.03753508703442656,0.041512625824015395,0.02021687461057922,0.021942719325504574,0.014660649599856175,0.007240970001723979,0.008731602308829346,2.8,0.9391758525703704,18.95,14.884082015223424,2.675,3.1735081292087224,29.95,16.27480355547282,119.675,62.240389022250056,20.5,13.241349377360804,7.875,3.7770392691929535,4.575,3.908488461193413,0.9,0.9001424388708769
HYPO_neg_0.5,40,HYPO,neg,0.5,-0.5,0.5,0.0,-0.5,0.0,207.775,85.9628684001979,0.5,0.5063696835418333,0.525,0.505736325340815,12298.225,4370.059487288005,3.2857378569245044,0.4610038974970625,20.375,14.280500422173318,0.1384348046143797,0.20912304043726393,0.6431400359398238,0.24537316957402766,0.2184251594457964,0.17104146778002496,0.013737545443740567,0.013377635926719074,0.13586555889099441,0.13604045018826028,0.032040812817031125,0.07658280051545793,0.13456895209326233,0.06526113003522221,0.49824338594820583,0.1360896277621138,0.0872936239122286,0.0429874335118562,0.053900666692405744,0.04104994643466759,0.03529508996670812,0.03181873545215612,0.009054364235423246,0.0130761749970214,2.125,0.9388345202485134,22.05,14.438108406539078,3.725,3.637324319486538,30.85,18.73232500251904,110.325,57.039971365116706,20.375,14.280500422173318,9.8,7.172597426745338,7.5,7.365895075034008,1.025,1.1206110970221697
HYPO_neg_1.0,40,HYPO,neg,1.0,-1.0,1.0,0.0,-1.0,0.0,227.8,88.11624024475735,0.45,0.503831473655779,0.575,0.5006406152531231,12545.65,3937.368134055657,3.4658964428285444,0.3956397134708362,26.875,14.534111070697946,0.10757826710655409,0.1731901906899527,0.7151768873803155,0.21428943146878404,0.17724484551313052,0.143454842884419,0.014763803230350498,0.010956010202026412,0.09475122049470738,0.10097286277829892,0.008506662457849392,0.012998681774212456,0.16422706847444304,0.05435665304865006,0.49966098834324824,0.09639935449209275,0.11265953630135923,0.038371631369903535,0.05965969639647265,0.03384358969264086,0.03526987720739093,0.026455134941940257,0.010501147094178756,0.01760232949685758,2.575,0.8129559864454139,18.8,21.49800229240156,1.575,2.0366828233863323,39.0,19.353658635103145,118.35,56.977975952026796,26.875,14.534111070697946,11.525,5.50052445052008,7.75,5.895456747056182,1.35,2.10676565817405
HYPO_pos_0.5,40,HYPO,pos,0.5,0.5,0.5,0.0,0.5,0.0,237.825,78.13462658639172,0.3,0.46409548089225705,0.7,0.4640954808922571,13297.05,3580.0841699745783,3.2524011898908163,0.4001258517506513,23.1,13.215763703108884,0.07930071513624197,0.13534752504284658,0.7122425357510148,0.21361410535019223,0.20845674911274323,0.15088600133644176,0.012459876103662847,0.011512956895503034,0.09205488576561513,0.07962850912719678,0.018780783526112885,0.03855256755774723,0.1595675267062054,0.05499326888244938,0.5375036951024356,0.09794099692654896,0.09211141614119814,0.04534465741127014,0.0497791152401503,0.03198748323130724,0.03329374980013954,0.02063535492388601,0.004448951614480145,0.008498963818803348,2.325,1.0225032129596565,19.75,15.903152404798755,2.8,3.495051446743612,39.225,18.235619553851755,131.775,55.259985754983916,23.1,13.215763703108884,10.4,5.027106013582255,7.9,4.903164859662138,0.55,0.9323254631461962
HYPO_pos_1.0,40,HYPO,pos,1.0,1.0,1.0,0.0,1.0,0.0,250.5,78.09888537895978,0.2,0.40509574683346666,0.8,0.40509574683346666,13424.675,3465.793129987968,3.3590086840878284,0.4077735390478228,34.0,19.055923098296894,0.076190861448546,0.16684699415428578,0.7534759938205051,0.22242376889268786,0.17033314473094893,0.1905133420977217,0.009005924256746633,0.006023586198140041,0.0751580927920175,0.06791056348512149,0.006583630663633368,0.011058256755332629,0.21106548177151385,0.08966746005943976,0.475201693474526,0.10891773155679244,0.13501270306681262,0.06972391608621184,0.03878981504854549,0.02494254213393839,0.04360315927206885,0.036884247915345156,0.005579499654135736,0.01609297446731864,1.975,1.1432634351063984,17.325,16.088517166457095,1.625,2.834652784779189,52.875,24.543198441596598,122.625,56.1302000617703,34.0,19.055923098296894,8.725,4.4605823467115675,10.725,9.467860614488607,0.625,1.3902130439944476
JUDGE_neg_0.5,40,JUDGE,neg,0.5,-0.5,0.5,0.0,-0.5,0.0,223.875,101.15238250866604,0.35,0.48304589153964794,0.675,0.47434164902525683,12281.45,4585.350837736215,3.106375328872825,0.45211891500862983,20.45,12.780092692573447,0.08927570819462712,0.1948987097485624,0.6541192593777286,0.22647838406296983,0.25660503242764415,0.17206134403562343,0.017100504593179196,0.017969760758105486,0.09406629693118876,0.09843682987286015,0.018380540685424246,0.022654557800202972,0.1392604281502919,0.06197151568032798,0.5573191251328922,0.12737200342729588,0.08488374341634816,0.04563017691269916,0.049349697021276034,0.03685035351352311,0.03250001730414668,0.023252164167943946,0.007139646765252816,0.011205463839757355,2.4,1.0573309405993556,17.05,13.46781538639624,2.65,2.6267851073127395,32.55,20.247127051662265,131.15,71.08231054063221,20.45,12.780092692573447,8.6,5.202563470700445,8.3,6.984231323451936,0.725,1.1764243957749088
JUDGE_neg_1.0,40,JUDGE,neg,1.0,-1.0,1.0,0.0,-1.0,0.0,266.35,85.9270859657425,0.15,0.36162028533978946,0.85,0.36162028533978946,13903.8,3174.559910545244,3.1020772015998075,0.49579261212590126,25.35,15.757049704326485,0.02489265402100286,0.0498742573016679,0.8069471429751874,0.18344424912426552,0.16816020300380963,0.1778271962306745,0.009499052221550754,0.009584970147100665,0.08036797898436202,0.08791170829535998,0.011589544290609172,0.02143180367514609,0.15300771042613454,0.061962142228239474,0.5540635272856118,0.12638002390550995,0.09312210741924484,0.052628451779194875,0.03766657467245761,0.021089672948568252,0.05514348890234757,0.0571798981275669,0.005540015797681678,0.012570441792872224,2.075,0.9971112120675253,17.6,13.737091843170166,2.25,2.9066678428602652,40.0,18.440479442012403,154.675,71.21307410214028,25.35,15.757049704326485,9.45,5.601968518480917,14.175,12.434211490264085,0.775,1.7901081474277412
JUDGE_neg_2.0,40,JUDGE,neg,2.0,-2.0,2.0,0.0,-2.0,0.0,185.75,112.82679032652048,0.0,0.0,1.0,0.0,12936.675,2673.872831177222,2.4249664673491766,0.9815656044583783,19.475,37.43506343468613,0.0745138888888889,0.2211511817950331,0.7677244007329102,0.3293410960067766,0.15776171037820097,0.24940069137004742,0.029828192108035122,0.05244239238942043,0.08221969618805561,0.10276322795003186,0.000853483106266514,0.002453105238035053,0.13753778404935327,0.18942835250747156,0.176760484144434,0.21226819428884228,0.09456122812717196,0.17871796121144187,0.0829481595943338,0.08687569559868816,0.3951430436882669,0.3205261165156907,0.00014792899408284024,0.0009355851065586919,1.6,0.7442084075352507,6.975,8.222818469949557,0.175,0.5006406152531231,32.3,49.89229425112685,32.475,43.13900460081014,19.475,37.43506343468613,9.65,9.851591046823156,83.075,93.172954010133,0.025,0.15811388300841897
JUDGE_pos_0.5,40,JUDGE,pos,0.5,0.5,0.5,0.0,0.5,0.0,233.925,86.78632395510843,0.35,0.48304589153964794,0.65,0.48304589153964794,12500.2,3645.4873276984868,3.317292679838613,0.40876063752772746,23.6,14.870035262834742,0.06748862308189377,0.13394668486919475,0.6940508123577824,0.2296267051404415,0.23846056456032386,0.20196168283876817,0.009721958003683313,0.012071739153112517,0.10447950292386028,0.10323477236759955,0.013101078751250777,0.024570144820292416,0.152787839605755,0.05581730959733103,0.5235194993713643,0.11046009841248976,0.09517817774031136,0.039408404097858944,0.06112135616979777,0.03137382262280946,0.034295290613747156,0.02550882027116814,0.005795296820229977,0.011810281251310005,1.7,0.8533493588238806,22.15,24.466146155296048,1.825,2.5205565116071345,36.525,18.29107600821946,125.975,56.03592597610929,23.6,14.870035262834742,13.125,7.34214214531776,8.425,7.041588908689172,0.6,1.0076629473115577
JUDGE_pos_1.0,40,JUDGE,pos,1.0,1.0,1.0,0.0,1.0,0.0,210.575,89.11844250699063,0.45,0.503831473655779,0.55,0.5038314736557788,11497.325,3696.3201478303267,3.3135152216031,0.4357685113582163,25.4,16.026900463331593,0.14562788382039366,0.19198202779689721,0.7036779477315938,0.24875042378893122,0.15069416844801253,0.1552097485525029,0.010011208652741164,0.006510831333660309,0.0635817907200948,0.06801366890989051,0.00674198987100946,0.015084136217306239,0.14477162131541124,0.05179729996066969,0.5414816067334682,0.10683226304799831,0.11229544513519299,0.04481926085779098,0.06312494809003813,0.04049313370895467,0.04529787174620819,0.06469500044618197,0.012693517735835718,0.01793841578211537,1.775,1.1872722453655624,11.45,11.302257546217287,0.925,1.7303845726400735,32.225,17.89210898979112,116.8,60.09189543886844,25.4,16.026900463331593,11.4,6.233902346166362,8.775,13.873951796857968,1.825,3.2493589111289833
