condition,mean_entropy,sd_entropy,mwu_stat,mwu_p
baseline,3.114671433615844,0.4244193446846522,,
HYPO_pos_0.5,3.252401189890817,0.4001258517506513,926.0,0.22719180284776963
HYPO_pos_1.0,3.3590086840878284,0.4077735390478228,1065.0,0.01092300427704587
HYPO_neg_0.5,3.2857378569245044,0.4610038974970625,988.0,0.07119688927525167
HYPO_neg_1.0,3.4658964428285444,0.3956397134708362,1156.0,0.0006243715089345019
TEST_pos_0.5,3.1806243222441166,0.42906148564806407,863.0,0.5475692501623806
TEST_pos_1.0,2.9320431862437584,0.35167182992148815,579.0,0.033857709093497175
TEST_neg_0.5,3.368270280163803,0.4282813441491621,1068.0,0.010052447665657275
TEST_neg_1.0,3.596042481821602,0.24453290297603153,1336.0,2.56555598302561e-07
JUDGE_pos_0.5,3.317292679838613,0.40876063752772746,984.0,0.07744122882855199
JUDGE_pos_1.0,3.3135152216031,0.4357685113582163,953.0,0.14225859268130034
JUDGE_neg_0.5,3.1063753288728253,0.4521189150086297,780.0,0.8511597790430957
JUDGE_neg_1.0,3.1020772015998075,0.49579261212590126,812.0,0.9118869168306243
JUDGE_neg_2.0,2.4249664673491766,0.9815656044583783,458.0,0.0010158330180774979
MONITOR_pos_0.5,3.3378535588176037,0.41184441168039887,1034.0,0.02464930835777973
MONITOR_pos_1.0,3.5286224846398397,0.3684358663692308,1228.0,3.895012892950288e-05
MONITOR_neg_0.5,3.1460313762060417,0.43496247743032984,824.0,0.8211012023911872
MONITOR_neg_1.0,3.1431720291009713,0.46844907411136805,873.0,0.4854076297124751
PLAN_pos_0.5,3.239300247933349,0.39337750079581096,915.0,0.2705587346338152
PLAN_pos_1.0,3.306023004198783,0.38916910066282606,1005.0,0.049090804709638
PLAN_neg_0.5,3.2227776908532038,0.396127768740483,898.0,0.3481446249530621
PLAN_neg_1.0,3.3587682256461933,0.3428086589286535,1063.0,0.011539988490258973
