condition,n_judges,accept,reject,uncertain,accept_rate,reject_rate,uncertain_rate
baseline,820,43,601,176,0.0524390243902439,0.7329268292682927,0.2146341463414634
HYPO_neg_0.5,815,67,542,206,0.08220858895705521,0.6650306748466258,0.252760736196319
HYPO_neg_1.0,1075,61,823,191,0.05674418604651163,0.7655813953488372,0.17767441860465116
HYPO_pos_0.5,924,45,703,176,0.048701298701298704,0.7608225108225108,0.19047619047619047
HYPO_pos_1.0,1360,47,1085,228,0.03455882352941177,0.7977941176470589,0.1676470588235294
JUDGE_neg_0.5,818,35,562,221,0.042787286063569685,0.687041564792176,0.2701711491442543
JUDGE_neg_1.0,1014,40,814,160,0.03944773175542406,0.8027613412228797,0.15779092702169625
JUDGE_neg_2.0,779,7,746,26,0.008985879332477536,0.9576379974326059,0.03337612323491656
JUDGE_pos_0.5,944,40,700,204,0.0423728813559322,0.7415254237288136,0.21610169491525424
JUDGE_pos_1.0,1016,91,785,140,0.08956692913385826,0.7726377952755905,0.1377952755905512
MONITOR_neg_0.5,1035,53,678,304,0.051207729468599035,0.6550724637681159,0.293719806763285
MONITOR_neg_1.0,704,29,605,70,0.041193181818181816,0.859375,0.09943181818181818
MONITOR_pos_0.5,577,28,470,79,0.04852686308492201,0.8145580589254766,0.1369150779896014
MONITOR_pos_1.0,790,29,664,97,0.03670886075949367,0.8405063291139241,0.12278481012658228
PLAN_neg_0.5,768,48,522,198,0.0625,0.6796875,0.2578125
PLAN_neg_1.0,1055,48,800,207,0.04549763033175355,0.7582938388625592,0.1962085308056872
PLAN_pos_0.5,786,52,497,237,0.06615776081424936,0.6323155216284987,0.3015267175572519
PLAN_pos_1.0,920,36,699,185,0.0391304347826087,0.7597826086956522,0.20108695652173914
TEST_neg_0.5,642,34,491,117,0.0529595015576324,0.764797507788162,0.1822429906542056
TEST_neg_1.0,905,48,695,162,0.05303867403314917,0.7679558011049724,0.17900552486187846
TEST_pos_0.5,830,30,614,186,0.03614457831325301,0.7397590361445783,0.22409638554216868
TEST_pos_1.0,1028,32,796,200,0.0311284046692607,0.77431906614786,0.19455252918287938
