condition,mean_length,sd_length,mwu_stat,mwu_p
baseline,207.9,86.22921154154734,,
HYPO_pos_0.5,237.825,78.13462658639172,967.5,0.10802014088031973
HYPO_pos_1.0,250.5,78.09888537895978,1033.5,0.024941578212329053
HYPO_neg_0.5,207.775,85.9628684001979,791.0,0.934806203143888
HYPO_neg_1.0,227.8,88.11624024475735,930.0,0.21269293637135844
TEST_pos_0.5,214.95,90.66759520640669,860.5,0.5636754371867958
TEST_pos_1.0,257.075,86.8019813965037,1116.0,0.00239493433984657
TEST_neg_0.5,204.825,79.84596950475238,774.0,0.8061458074977178
TEST_neg_1.0,197.7,72.63862079341287,715.5,0.4188907238932533
JUDGE_pos_0.5,233.925,86.78632395510843,970.0,0.10284288746505547
JUDGE_pos_1.0,210.575,89.11844250699063,809.0,0.9348081094562788
JUDGE_neg_0.5,223.875,101.15238250866604,918.5,0.2561649979275311
JUDGE_neg_1.0,266.35,85.9270859657425,1103.5,0.0035471178921012924
JUDGE_neg_2.0,185.75,112.82679032652048,696.0,0.31925334161067553
MONITOR_pos_0.5,205.95,78.40458843192461,787.0,0.9042519356511717
MONITOR_pos_1.0,208.225,75.99915232320788,770.0,0.776491744587698
MONITOR_neg_0.5,232.525,89.92304045753905,958.5,0.12838355135127133
MONITOR_neg_1.0,151.8,124.20334856545453,573.0,0.029287165372352736
PLAN_pos_0.5,212.775,80.58010427598245,822.0,0.8360854201960012
PLAN_pos_1.0,217.875,64.29586560062266,822.5,0.8323323277618926
PLAN_neg_0.5,208.85,100.13236112061746,806.0,0.95778967577569
PLAN_neg_1.0,231.375,89.82595350496939,934.0,0.1988963600695297
