condition,category,direction,alpha,label,on_target,n_pairs,mean_baseline,mean_steered,shift,cohen_d,wilcoxon_stat,p_raw,p_bonf,significant_005
HYPO_pos_0.5,HYPO,pos,0.5,HYPO,True,40,0.1394172935506663,0.1595675267062054,0.020150233155539102,0.3151184528062679,306.0,0.16589964473860164,1.0,False
HYPO_pos_1.0,HYPO,pos,1.0,HYPO,True,40,0.1394172935506663,0.21106548177151385,0.07164818822084759,0.7005611753712012,121.0,4.098819044884294e-05,0.0008197638089768589,True
HYPO_neg_0.5,HYPO,neg,0.5,HYPO,True,40,0.1394172935506663,0.13456895209326233,-0.004848341457403933,-0.05392881719667255,386.0,0.7546940826050559,1.0,False
HYPO_neg_1.0,HYPO,neg,1.0,HYPO,True,40,0.1394172935506663,0.164227068474443,0.024809774923776735,0.3082622191954174,290.0,0.10879914976976579,1.0,False
TEST_pos_0.5,TEST,pos,0.5,TEST,True,40,0.5393414186480165,0.5344517826936268,-0.004889635954389871,-0.023520207165968133,394.0,0.8367550107286661,1.0,False
TEST_pos_1.0,TEST,pos,1.0,TEST,True,40,0.5393414186480165,0.5914040781154746,0.05206265946745797,0.3040321236670384,251.0,0.03207873742940137,0.6415747485880274,False
TEST_neg_0.5,TEST,neg,0.5,TEST,True,40,0.5393414186480165,0.5226370326394226,-0.016704386008593957,-0.10158945119762366,338.0,0.34032321635640983,1.0,False
TEST_neg_1.0,TEST,neg,1.0,TEST,True,40,0.5393414186480165,0.45374760689858695,-0.08559381174942972,-0.5400731012231983,175.0,0.0011671793090499705,0.02334358618099941,True
JUDGE_pos_0.5,JUDGE,pos,0.5,JUDGE,True,40,0.09112046046668851,0.0951781777403113,0.0040577172736227865,0.07633418535660999,384.0,0.7345573100628826,1.0,False
JUDGE_pos_1.0,JUDGE,pos,1.0,JUDGE,True,40,0.09112046046668851,0.11229544513519296,0.021174984668504433,0.34877569128918445,267.0,0.05481029127986403,1.0,False
JUDGE_neg_0.5,JUDGE,neg,0.5,JUDGE,True,40,0.09112046046668851,0.08488374341634812,-0.006236717050340395,-0.12124669041075133,319.0,0.22650754260575923,1.0,False
JUDGE_neg_1.0,JUDGE,neg,1.0,JUDGE,True,40,0.09112046046668851,0.09312210741924482,0.002001646952556305,0.03276701961833699,409.0,0.9946976143110078,1.0,False
JUDGE_neg_2.0,JUDGE,neg,2.0,JUDGE,True,40,0.09112046046668851,0.09456122812717192,0.003440767660483411,0.01949694580392595,293.0,0.11579998912860627,,False
MONITOR_pos_0.5,MONITOR,pos,0.5,MONITOR,True,40,0.02194271932550454,0.059887053333801496,0.03794433400829696,0.8519803316432957,65.0,3.1401395972352475e-07,6.280279194470495e-06,True
MONITOR_pos_1.0,MONITOR,pos,1.0,MONITOR,True,40,0.02194271932550454,0.06454077849584852,0.042598059170343976,0.6219420126075721,78.0,1.1621450539678335e-06,2.324290107935667e-05,True
MONITOR_neg_0.5,MONITOR,neg,0.5,MONITOR,True,40,0.02194271932550454,0.020829221534417415,-0.0011134977910871274,-0.04858622051879134,392.0,0.8160389817658142,1.0,False
MONITOR_neg_1.0,MONITOR,neg,1.0,MONITOR,True,40,0.02194271932550454,0.021841207429281355,-0.0001015118962231814,-0.0028478079285075633,305.0,0.1617874718067469,1.0,False
PLAN_pos_0.5,PLAN,pos,0.5,PLAN,True,40,0.04151262582401535,0.062477099038104146,0.020964473214088793,0.3477065027826196,285.0,0.09449897358172166,1.0,False
PLAN_pos_1.0,PLAN,pos,1.0,PLAN,True,40,0.04151262582401535,0.05065546760535784,0.009142841781342483,0.2697373214777485,283.0,0.08920892782589362,1.0,False
PLAN_neg_0.5,PLAN,neg,0.5,PLAN,True,40,0.04151262582401535,0.051914801047189416,0.010402175223174067,0.28628224971925875,307.0,0.17008811905543553,1.0,False
PLAN_neg_1.0,PLAN,neg,1.0,PLAN,True,40,0.04151262582401535,0.036665147479101615,-0.004847478344913735,-0.1627307871705998,329.0,0.2825841121848498,1.0,False
